category,resume_text
Data Scientist,"Data Scientist with 2 years of experience. Skilled in Docker, C++, NumPy, Node.js, Excel. Experience with Ansible, REST API, Jira. Education: B.Tech in Computer Science."
Cybersecurity Analyst,"Cybersecurity Analyst with 1 years of experience. Skilled in Flask, GraphQL, Figma, NumPy, Pandas, Redis, GCP. Experience with CI/CD, REST API, Agile, GitHub Actions. Education: B.Tech in Computer Science."
Frontend Developer,"Frontend Developer with 2 years of experience. Skilled in AWS, Figma, PostgreSQL, Java, TensorFlow. Experience with REST API, GitHub Actions, Terraform. Education: M.S. in Data Science."
Frontend Developer,"Frontend Developer with 6 years of experience. Skilled in Tableau, AWS, Hadoop, Excel, Python, FastAPI, Azure. Experience with Terraform, Jenkins. Education: B.Des."
AI Engineer,"AI Engineer with 6 years of experience. Skilled in NumPy, Redis, Airflow, Hadoop, AWS, Flask. Experience with CI/CD, Agile, Git. Education: M.S. in Data Science."
Business Analyst,"Business Analyst with 10 years of experience. Skilled in Figma, NumPy, Java, Python, Spark. Experience with Git, Jira. Education: B.Tech in Computer Science."
QA Engineer,"QA Engineer with 9 years of experience. Skilled in C++, PyTorch, Kubernetes, GCP, Django, Airflow, Azure. Experience with CI/CD, Microservices, Ansible, Jira. Education: M.Tech in AI."
DevOps Engineer,"DevOps Engineer with 1 years of experience. Skilled in Pandas, MongoDB, Figma, PyTorch, NumPy, Power BI, Elasticsearch. Experience with Microservices, Ansible, Scrum, Jenkins. Education: B.Des."
Cybersecurity Analyst,"Cybersecurity Analyst with 6 years of experience. Skilled in Spark, Tableau, Solidity, Elasticsearch. Experience with Microservices, Terraform, Agile. Education: M.Tech in AI."
UI/UX Designer,"UI/UX Designer with 3 years of experience. Skilled in Node.js, MongoDB, Kubernetes, Elasticsearch, TensorFlow, Hadoop, NumPy. Experience with Ansible, Scrum, GitHub Actions, Jira. Education: B.E. in IT."
Product Manager,"Product Manager with 2 years of experience. Skilled in GraphQL, SQL, Java, Excel, GCP. Experience with Jira, Scrum, Jenkins, CI/CD. Education: MBA."
Frontend Developer,"Frontend Developer with 10 years of experience. Skilled in MongoDB, Figma, GCP, Azure. Experience with Git, Terraform, GitHub Actions, Scrum. Education: B.Tech in Computer Science."
Backend Developer,"Backend Developer with 7 years of experience. Skilled in Django, Pandas, Python, Tableau, Flask. Experience with Linux, CI/CD, REST API. Education: B.Tech in Computer Science."
DevOps Engineer,"DevOps Engineer with 5 years of experience. Skilled in GraphQL, TensorFlow, SQL, Azure, Spark. Experience with CI/CD, Microservices, Jenkins. Education: B.E. in IT."
DevOps Engineer,"DevOps Engineer with 9 years of experience. Skilled in Redis, React, TensorFlow, Kafka. Experience with Agile, Terraform, REST API. Education: B.Tech in Computer Science."
Machine Learning Engineer,"Machine Learning Engineer with 2 years of experience. Skilled in Spark, AWS, Java, Flask. Experience with Terraform, Microservices. Education: MBA."
Data Engineer,"Data Engineer with 2 years of experience. Skilled in GraphQL, Django, Hadoop, PostgreSQL, Kafka, Java, C++. Experience with Linux, Scrum, Terraform. Education: B.E. in IT."
Blockchain Developer,"Blockchain Developer with 1 years of experience. Skilled in Elasticsearch, FastAPI, PostgreSQL, Azure, scikit-learn. Experience with Jenkins, Git, CI/CD, GitHub Actions. Education: M.S. in Data Science."
Cybersecurity Analyst,"Cybersecurity Analyst with 3 years of experience. Skilled in Spark, Docker, Redis, Java, Hadoop, React. Experience with Scrum, Agile, Terraform. Education: MBA."
Data Scientist,"Data Scientist with 8 years of experience. Skilled in Power BI, Spark, Solidity, Redis, Django. Experience with REST API, Ansible, GitHub Actions. Education: B.E. in IT."
Backend Developer,"Backend Developer with 3 years of experience. Skilled in Pandas, scikit-learn, Excel, Hadoop. Experience with Scrum, REST API, Jenkins, Agile. Education: B.E. in IT."
Machine Learning Engineer,"Machine Learning Engineer with 2 years of experience. Skilled in Django, TensorFlow, Node.js, Python, Elasticsearch, Airflow, PyTorch. Experience with Git, CI/CD, Ansible. Education: B.E. in IT."
Data Scientist,"Data Scientist with 2 years of experience. Skilled in Azure, Spark, Figma, Python, FastAPI. Experience with Terraform, Git, Scrum. Education: B.Des."
UI/UX Designer,"UI/UX Designer with 3 years of experience. Skilled in PostgreSQL, PyTorch, Excel, Python, GCP, SQL. Experience with Agile, Linux. Education: B.Des."
Product Manager,"Product Manager with 4 years of experience. Skilled in Kubernetes, C++, TensorFlow, FastAPI, Python, Excel. Experience with GitHub Actions, Jira, REST API. Education: MBA."
Frontend Developer,"Frontend Developer with 8 years of experience. Skilled in scikit-learn, Tableau, TensorFlow, Node.js, Pandas, Kubernetes. Experience with Microservices, Terraform. Education: M.S. in Data Science."
Product Manager,"Product Manager with 2 years of experience. Skilled in Redis, Kubernetes, Figma, Pandas. Experience with Scrum, Microservices, Terraform, GitHub Actions. Education: B.Des."
Cloud Engineer,"Cloud Engineer with 2 years of experience. Skilled in Kafka, Figma, Solidity, TensorFlow, Docker, Python. Experience with Linux, Jira, Agile, GitHub Actions. Education: B.E. in IT."
UI/UX Designer,"UI/UX Designer with 4 years of experience. Skilled in AWS, TensorFlow, GraphQL, Solidity, SQL. Experience with GitHub Actions, Git. Education: B.E. in IT."
Data Scientist,"Data Scientist with 4 years of experience. Skilled in Figma, Redis, Docker, Solidity, Node.js, Power BI. Experience with Terraform, GitHub Actions, Linux, Jenkins. Education: MBA."
Mobile Developer,"Mobile Developer with 5 years of experience. Skilled in GraphQL, Java, Excel, PostgreSQL, Elasticsearch, C++. Experience with Microservices, Ansible, Jenkins, Terraform. Education: B.Des."
Blockchain Developer,"Blockchain Developer with 3 years of experience. Skilled in C++, Redis, Elasticsearch, SQL, Pandas, Solidity. Experience with Linux, Agile, REST API. Education: M.Tech in AI."
DevOps Engineer,"DevOps Engineer with 9 years of experience. Skilled in Excel, Airflow, PostgreSQL, Spark, Hadoop, NumPy, FastAPI. Experience with Git, Linux, Terraform, Agile. Education: B.Tech in Computer Science."
Machine Learning Engineer,"Machine Learning Engineer with 8 years of experience. Skilled in Power BI, Elasticsearch, PyTorch, C++. Experience with Microservices, CI/CD. Education: B.E. in IT."
Cloud Engineer,"Cloud Engineer with 7 years of experience. Skilled in NumPy, GCP, Excel, Hadoop, Flask, Pandas. Experience with Git, Microservices, Jira. Education: M.S. in Data Science."
Mobile Developer,"Mobile Developer with 9 years of experience. Skilled in Docker, Pandas, Airflow, Excel, PostgreSQL, scikit-learn, Kafka. Experience with Terraform, Jira, Ansible. Education: B.E. in IT."
AI Engineer,"AI Engineer with 3 years of experience. Skilled in Kafka, Tableau, Pandas, C++. Experience with Agile, Git. Education: MBA."
Cloud Engineer,"Cloud Engineer with 4 years of experience. Skilled in PostgreSQL, Hadoop, Solidity, Tableau, GCP, Pandas. Experience with Ansible, Jira, Jenkins. Education: M.S. in Data Science."
UI/UX Designer,"UI/UX Designer with 2 years of experience. Skilled in Node.js, GCP, React, Airflow, Tableau. Experience with Agile, Jenkins, REST API, Microservices. Education: M.Tech in AI."
Cloud Engineer,"Cloud Engineer with 6 years of experience. Skilled in Hadoop, PostgreSQL, Excel, PyTorch, TensorFlow, Java, Kubernetes. Experience with Git, Agile, Microservices. Education: M.Tech in AI."
AI Engineer,"AI Engineer with 7 years of experience. Skilled in GCP, C++, Kafka, Power BI. Experience with Jira, Agile, Jenkins, REST API. Education: B.Des."
QA Engineer,"QA Engineer with 5 years of experience. Skilled in Excel, React, Pandas, FastAPI, PyTorch. Experience with REST API, Jenkins, Terraform, Scrum. Education: M.S. in Data Science."
Data Scientist,"Data Scientist with 1 years of experience. Skilled in Tableau, SQL, AWS, NumPy, GraphQL, TensorFlow. Experience with Scrum, Jira, Git, Terraform. Education: B.Des."
QA Engineer,"QA Engineer with 9 years of experience. Skilled in Java, Figma, Excel, NumPy, PostgreSQL, PyTorch. Experience with Scrum, CI/CD, REST API, Terraform. Education: MBA."
Business Analyst,"Business Analyst with 4 years of experience. Skilled in PyTorch, AWS, Node.js, MongoDB, NumPy, Azure, React. Experience with Scrum, Git, Agile, Jenkins. Education: M.Tech in AI."
Machine Learning Engineer,"Machine Learning Engineer with 6 years of experience. Skilled in React, Pandas, Java, PostgreSQL, TensorFlow. Experience with Jenkins, GitHub Actions, CI/CD, Agile. Education: M.Tech in AI."
Business Analyst,"Business Analyst with 7 years of experience. Skilled in TensorFlow, Django, GCP, Redis, Tableau, Node.js, React. Experience with Scrum, Agile, Ansible, Microservices. Education: MBA."
UI/UX Designer,"UI/UX Designer with 7 years of experience. Skilled in Node.js, Kubernetes, Java, C++, Django. Experience with Linux, Scrum. Education: B.Tech in Computer Science."
Data Engineer,"Data Engineer with 8 years of experience. Skilled in Spark, scikit-learn, Azure, React. Experience with Ansible, Jenkins, Linux, Terraform. Education: B.Des."
Software Engineer,"Software Engineer with 8 years of experience. Skilled in Redis, Python, NumPy, Django, SQL. Experience with Microservices, GitHub Actions. Education: M.Tech in AI."
Mobile Developer,"Mobile Developer with 10 years of experience. Skilled in Azure, GCP, Airflow, Django, Kubernetes, Hadoop. Experience with Terraform, Linux, CI/CD. Education: B.Tech in Computer Science."
Mobile Developer,"Mobile Developer with 6 years of experience. Skilled in PostgreSQL, Solidity, GCP, Flask, AWS, FastAPI, Tableau. Experience with REST API, Scrum, Jira. Education: M.S. in Data Science."
Data Scientist,"Data Scientist with 5 years of experience. Skilled in Docker, Java, Tableau, Kubernetes, Kafka, Django. Experience with REST API, CI/CD. Education: M.Tech in AI."
Mobile Developer,"Mobile Developer with 10 years of experience. Skilled in SQL, Redis, Hadoop, Kubernetes, NumPy, MongoDB. Experience with Linux, Scrum, Jenkins, Git. Education: B.Des."
DevOps Engineer,"DevOps Engineer with 9 years of experience. Skilled in Pandas, SQL, scikit-learn, Redis, AWS, Kubernetes. Experience with Terraform, CI/CD, Git, Ansible. Education: B.E. in IT."
AI Engineer,"AI Engineer with 6 years of experience. Skilled in Spark, Airflow, Hadoop, Flask. Experience with GitHub Actions, Jenkins. Education: B.Des."
Backend Developer,"Backend Developer with 6 years of experience. Skilled in Pandas, Node.js, Azure, GraphQL. Experience with Jira, Ansible. Education: M.S. in Data Science."
UI/UX Designer,"UI/UX Designer with 6 years of experience. Skilled in C++, Figma, Kubernetes, PyTorch, Spark, MongoDB, NumPy. Experience with CI/CD, Agile, Linux, Scrum. Education: M.Tech in AI."
Software Engineer,"Software Engineer with 6 years of experience. Skilled in SQL, PyTorch, Hadoop, Kubernetes. Experience with Ansible, Scrum, REST API, Terraform. Education: B.Des."
Data Engineer,"Data Engineer with 1 years of experience. Skilled in Excel, Hadoop, C++, GraphQL, Redis. Experience with Ansible, Agile, GitHub Actions. Education: MBA."
Backend Developer,"Backend Developer with 7 years of experience. Skilled in Figma, AWS, Pandas, PyTorch, GCP. Experience with Terraform, Linux, Ansible. Education: B.Tech in Computer Science."
Data Scientist,"Data Scientist with 3 years of experience. Skilled in TensorFlow, React, GCP, MongoDB. Experience with GitHub Actions, Scrum, Microservices. Education: B.Tech in Computer Science."
Cloud Engineer,"Cloud Engineer with 9 years of experience. Skilled in Figma, Excel, GCP, FastAPI, Azure, scikit-learn. Experience with Jira, Agile. Education: M.S. in Data Science."
Data Scientist,"Data Scientist with 4 years of experience. Skilled in C++, Airflow, Hadoop, Solidity, SQL, Spark. Experience with REST API, GitHub Actions, Microservices, Linux. Education: MBA."
Cloud Engineer,"Cloud Engineer with 9 years of experience. Skilled in Azure, Airflow, Node.js, React, Excel, Kafka, Spark. Experience with Jira, Linux, Git, Jenkins. Education: B.E. in IT."
Data Engineer,"Data Engineer with 4 years of experience. Skilled in Docker, Solidity, Hadoop, MongoDB. Experience with Linux, Ansible. Education: B.E. in IT."
Cloud Engineer,"Cloud Engineer with 10 years of experience. Skilled in PostgreSQL, Spark, Airflow, React, Node.js. Experience with Git, Microservices, Linux. Education: B.Des."
AI Engineer,"AI Engineer with 10 years of experience. Skilled in Power BI, Excel, Figma, PyTorch. Experience with REST API, Agile. Education: B.Des."
Machine Learning Engineer,"Machine Learning Engineer with 9 years of experience. Skilled in FastAPI, Elasticsearch, GCP, Kubernetes, Figma, NumPy, React. Experience with GitHub Actions, REST API. Education: B.Tech in Computer Science."
Frontend Developer,"Frontend Developer with 10 years of experience. Skilled in Django, TensorFlow, Tableau, Spark. Experience with CI/CD, Jira. Education: M.S. in Data Science."
Cybersecurity Analyst,"Cybersecurity Analyst with 2 years of experience. Skilled in Node.js, TensorFlow, Solidity, PostgreSQL. Experience with Microservices, Jenkins. Education: B.Des."
UI/UX Designer,"UI/UX Designer with 5 years of experience. Skilled in Django, Tableau, GraphQL, Excel, MongoDB, Kubernetes. Experience with Linux, Terraform, Microservices. Education: B.Tech in Computer Science."
Machine Learning Engineer,"Machine Learning Engineer with 2 years of experience. Skilled in Airflow, Kafka, GraphQL, Hadoop, Figma. Experience with Agile, Linux. Education: B.E. in IT."
Cloud Engineer,"Cloud Engineer with 6 years of experience. Skilled in GCP, AWS, Flask, Pandas, Elasticsearch, Hadoop. Experience with GitHub Actions, Terraform. Education: MBA."
Cloud Engineer,"Cloud Engineer with 10 years of experience. Skilled in scikit-learn, NumPy, Power BI, MongoDB. Experience with Jira, Linux, REST API. Education: MBA."
Cloud Engineer,"Cloud Engineer with 3 years of experience. Skilled in Flask, React, AWS, Tableau, PostgreSQL, Kafka, MongoDB. Experience with Terraform, Agile. Education: M.S. in Data Science."
Backend Developer,"Backend Developer with 8 years of experience. Skilled in TensorFlow, Figma, AWS, Kafka, Excel, Kubernetes. Experience with CI/CD, Microservices. Education: B.Tech in Computer Science."
Backend Developer,"Backend Developer with 2 years of experience. Skilled in C++, Hadoop, Django, Pandas, Tableau. Experience with Microservices, Jira, Jenkins, Terraform. Education: M.S. in Data Science."
Data Engineer,"Data Engineer with 10 years of experience. Skilled in GCP, PostgreSQL, Redis, Python, MongoDB. Experience with CI/CD, Microservices, Linux. Education: M.Tech in AI."
QA Engineer,"QA Engineer with 7 years of experience. Skilled in Pandas, Flask, Solidity, Java, MongoDB. Experience with GitHub Actions, Ansible. Education: B.Tech in Computer Science."
DevOps Engineer,"DevOps Engineer with 1 years of experience. Skilled in Figma, Kafka, MongoDB, Tableau, Excel, PyTorch, TensorFlow. Experience with CI/CD, Terraform, Linux. Education: MBA."
Data Engineer,"Data Engineer with 3 years of experience. Skilled in AWS, MongoDB, NumPy, Kafka. Experience with Jenkins, Jira. Education: MBA."
Data Engineer,"Data Engineer with 4 years of experience. Skilled in AWS, Figma, Java, Power BI, PostgreSQL, Kafka. Experience with Jira, Microservices, CI/CD. Education: B.Des."
DevOps Engineer,"DevOps Engineer with 1 years of experience. Skilled in MongoDB, GCP, Excel, React, Spark, Flask. Experience with Jira, CI/CD, Agile. Education: M.S. in Data Science."
Blockchain Developer,"Blockchain Developer with 4 years of experience. Skilled in Figma, Kubernetes, PostgreSQL, Kafka, PyTorch. Experience with CI/CD, Microservices, Agile. Education: M.Tech in AI."
Mobile Developer,"Mobile Developer with 5 years of experience. Skilled in Azure, NumPy, SQL, Java, Redis, Python. Experience with Ansible, Terraform, Jenkins, Microservices. Education: M.Tech in AI."
DevOps Engineer,"DevOps Engineer with 2 years of experience. Skilled in Solidity, Hadoop, Docker, Redis, Pandas. Experience with Git, Jenkins. Education: M.Tech in AI."
DevOps Engineer,"DevOps Engineer with 3 years of experience. Skilled in Python, GCP, Tableau, React. Experience with CI/CD, Ansible, Terraform, Microservices. Education: M.S. in Data Science."
Blockchain Developer,"Blockchain Developer with 7 years of experience. Skilled in TensorFlow, Hadoop, Node.js, MongoDB, C++, Power BI, PostgreSQL. Experience with REST API, Ansible. Education: M.S. in Data Science."
DevOps Engineer,"DevOps Engineer with 4 years of experience. Skilled in GCP, Hadoop, PyTorch, MongoDB, Docker, Redis. Experience with Jira, Git, Jenkins, Agile. Education: M.Tech in AI."
Data Engineer,"Data Engineer with 5 years of experience. Skilled in Azure, Python, Node.js, FastAPI. Experience with Ansible, REST API, Jira. Education: M.S. in Data Science."
Data Scientist,"Data Scientist with 10 years of experience. Skilled in Kafka, Hadoop, SQL, FastAPI. Experience with Scrum, Terraform, Jira, Ansible. Education: M.S. in Data Science."
QA Engineer,"QA Engineer with 10 years of experience. Skilled in Docker, TensorFlow, Python, Django, SQL, FastAPI. Experience with GitHub Actions, Agile, Linux. Education: B.Tech in Computer Science."
Data Engineer,"Data Engineer with 2 years of experience. Skilled in Hadoop, PyTorch, NumPy, Django. Experience with Agile, REST API. Education: MBA."
Frontend Developer,"Frontend Developer with 1 years of experience. Skilled in Figma, React, Pandas, Docker, GCP, Django. Experience with Scrum, GitHub Actions, Terraform, Agile. Education: M.S. in Data Science."
UI/UX Designer,"UI/UX Designer with 3 years of experience. Skilled in SQL, Airflow, GraphQL, Redis, MongoDB, PyTorch. Experience with Jenkins, Ansible, Agile, Terraform. Education: M.Tech in AI."
Cloud Engineer,"Cloud Engineer with 7 years of experience. Skilled in GCP, Pandas, Elasticsearch, Redis, C++. Experience with Agile, Scrum. Education: MBA."
Business Analyst,"Business Analyst with 6 years of experience. Skilled in Solidity, C++, Figma, PyTorch, Node.js, Flask, scikit-learn. Experience with Linux, Git, Scrum. Education: MBA."
Frontend Developer,"Frontend Developer with 8 years of experience. Skilled in Kubernetes, Azure, AWS, Kafka, Python, Solidity. Experience with CI/CD, Linux, Ansible, REST API. Education: M.Tech in AI."
QA Engineer,"QA Engineer with 6 years of experience. Skilled in GraphQL, Pandas, Django, PyTorch, NumPy, Azure, Airflow. Experience with REST API, Scrum, Agile, GitHub Actions. Education: B.Tech in Computer Science."
Data Scientist,"Data Scientist with 6 years of experience. Skilled in Spark, Django, Pandas, GCP, Python, SQL, PyTorch. Experience with Scrum, Jenkins, Git. Education: MBA."
AI Engineer,"AI Engineer with 7 years of experience. Skilled in Excel, Airflow, PostgreSQL, Spark. Experience with Terraform, Jira. Education: B.Tech in Computer Science."
QA Engineer,"QA Engineer with 7 years of experience. Skilled in Pandas, Java, Redis, AWS, scikit-learn. Experience with Git, Scrum, GitHub Actions, Ansible. Education: M.S. in Data Science."
Cybersecurity Analyst,"Cybersecurity Analyst with 10 years of experience. Skilled in FastAPI, Azure, Pandas, Power BI, C++, PostgreSQL. Experience with Microservices, Linux, GitHub Actions. Education: M.S. in Data Science."
Data Engineer,"Data Engineer with 4 years of experience. Skilled in Spark, Tableau, Python, React, GraphQL, scikit-learn. Experience with Terraform, Agile. Education: B.Des."
UI/UX Designer,"UI/UX Designer with 7 years of experience. Skilled in GCP, FastAPI, scikit-learn, GraphQL, Power BI. Experience with Jenkins, Agile, Jira, Scrum. Education: M.Tech in AI."
QA Engineer,"QA Engineer with 2 years of experience. Skilled in GCP, React, GraphQL, Azure. Experience with Scrum, Git. Education: B.E. in IT."
Business Analyst,"Business Analyst with 4 years of experience. Skilled in Pandas, Python, SQL, FastAPI, Excel. Experience with GitHub Actions, Jenkins, Agile. Education: B.E. in IT."
QA Engineer,"QA Engineer with 5 years of experience. Skilled in Kafka, SQL, Tableau, MongoDB, NumPy, React, Solidity. Experience with Agile, Terraform, CI/CD, Linux. Education: M.S. in Data Science."
Software Engineer,"Software Engineer with 10 years of experience. Skilled in GraphQL, scikit-learn, Figma, Solidity, React. Experience with CI/CD, GitHub Actions. Education: M.S. in Data Science."
Cybersecurity Analyst,"Cybersecurity Analyst with 7 years of experience. Skilled in SQL, Kubernetes, PostgreSQL, AWS, Tableau. Experience with Jenkins, Scrum, Agile, Jira. Education: B.E. in IT."
DevOps Engineer,"DevOps Engineer with 10 years of experience. Skilled in NumPy, TensorFlow, Pandas, Java. Experience with Agile, Linux, Jenkins, Scrum. Education: MBA."
Machine Learning Engineer,"Machine Learning Engineer with 7 years of experience. Skilled in Python, MongoDB, C++, Docker, Java, Pandas. Experience with GitHub Actions, Microservices, Jira, CI/CD. Education: B.Tech in Computer Science."
Product Manager,"Product Manager with 7 years of experience. Skilled in Power BI, TensorFlow, Elasticsearch, C++, Spark, Redis. Experience with Git, Ansible. Education: B.E. in IT."
Cybersecurity Analyst,"Cybersecurity Analyst with 10 years of experience. Skilled in FastAPI, Kubernetes, Docker, Hadoop. Experience with Linux, Git, Terraform, Scrum. Education: M.S. in Data Science."
Cybersecurity Analyst,"Cybersecurity Analyst with 8 years of experience. Skilled in Python, GCP, Spark, Docker, Tableau. Experience with Ansible, Agile, Microservices. Education: M.S. in Data Science."
Data Engineer,"Data Engineer with 2 years of experience. Skilled in Figma, Flask, AWS, Python, Airflow, Docker, Spark. Experience with Git, Jenkins, Microservices, Scrum. Education: M.Tech in AI."
UI/UX Designer,"UI/UX Designer with 6 years of experience. Skilled in Pandas, Azure, GraphQL, Python, Flask, MongoDB. Experience with Linux, Scrum, Ansible. Education: B.Tech in Computer Science."
Data Engineer,"Data Engineer with 5 years of experience. Skilled in PyTorch, Power BI, Hadoop, React, NumPy. Experience with Agile, REST API, Microservices. Education: M.S. in Data Science."
Cloud Engineer,"Cloud Engineer with 6 years of experience. Skilled in Node.js, Kafka, Kubernetes, SQL, Hadoop, Python. Experience with REST API, CI/CD, Microservices, Linux. Education: B.Tech in Computer Science."
Machine Learning Engineer,"Machine Learning Engineer with 1 years of experience. Skilled in Node.js, GraphQL, FastAPI, NumPy, GCP, Kafka. Experience with Terraform, Microservices. Education: B.Tech in Computer Science."
Blockchain Developer,"Blockchain Developer with 7 years of experience. Skilled in Excel, Docker, C++, Elasticsearch. Experience with Jenkins, Microservices, CI/CD. Education: B.Tech in Computer Science."
Backend Developer,"Backend Developer with 7 years of experience. Skilled in TensorFlow, Node.js, FastAPI, Tableau, NumPy, Airflow, Pandas. Experience with Microservices, Ansible, Linux, Jira. Education: B.E. in IT."
DevOps Engineer,"DevOps Engineer with 3 years of experience. Skilled in GCP, Python, Flask, Kafka, MongoDB. Experience with CI/CD, GitHub Actions, Scrum. Education: M.S. in Data Science."
Software Engineer,"Software Engineer with 8 years of experience. Skilled in GCP, Airflow, scikit-learn, TensorFlow, Figma. Experience with Terraform, REST API. Education: B.Tech in Computer Science."
DevOps Engineer,"DevOps Engineer with 5 years of experience. Skilled in Kafka, Elasticsearch, GraphQL, React, Power BI. Experience with GitHub Actions, CI/CD, Ansible, Jira. Education: M.Tech in AI."
AI Engineer,"AI Engineer with 6 years of experience. Skilled in Solidity, Pandas, Kafka, GraphQL. Experience with Ansible, Git, Linux. Education: M.S. in Data Science."
Software Engineer,"Software Engineer with 10 years of experience. Skilled in Docker, SQL, Kafka, C++, Airflow, Redis. Experience with Microservices, REST API, Git. Education: MBA."
Data Scientist,"Data Scientist with 9 years of experience. Skilled in Docker, TensorFlow, Hadoop, Elasticsearch, React. Experience with Agile, Git, Microservices. Education: B.Tech in Computer Science."
Software Engineer,"Software Engineer with 1 years of experience. Skilled in GCP, SQL, PostgreSQL, Elasticsearch, React, Kubernetes, Solidity. Experience with Microservices, Scrum, Ansible. Education: M.S. in Data Science."
Data Engineer,"Data Engineer with 8 years of experience. Skilled in Elasticsearch, scikit-learn, Java, Flask, Tableau. Experience with Microservices, CI/CD. Education: MBA."
QA Engineer,"QA Engineer with 6 years of experience. Skilled in PyTorch, Java, Excel, Pandas, Azure. Experience with Git, Jira, CI/CD, Linux. Education: B.E. in IT."
Machine Learning Engineer,"Machine Learning Engineer with 5 years of experience. Skilled in AWS, Kafka, Hadoop, Flask. Experience with Jenkins, Microservices, Jira, Ansible. Education: B.Tech in Computer Science."
Cloud Engineer,"Cloud Engineer with 5 years of experience. Skilled in Spark, Java, Power BI, Node.js, Solidity. Experience with GitHub Actions, CI/CD, Agile. Education: B.E. in IT."
Cybersecurity Analyst,"Cybersecurity Analyst with 7 years of experience. Skilled in Node.js, Spark, React, AWS. Experience with GitHub Actions, Linux. Education: B.Tech in Computer Science."
Cybersecurity Analyst,"Cybersecurity Analyst with 5 years of experience. Skilled in Figma, Azure, PostgreSQL, Tableau, scikit-learn, Elasticsearch, Node.js. Experience with Agile, Jenkins, Scrum. Education: MBA."
Software Engineer,"Software Engineer with 1 years of experience. Skilled in Flask, PostgreSQL, Kafka, Hadoop, React. Experience with Jenkins, Ansible. Education: B.E. in IT."
UI/UX Designer,"UI/UX Designer with 8 years of experience. Skilled in Django, Node.js, Hadoop, Solidity, Excel, Kafka, Spark. Experience with Terraform, Jira, Agile. Education: B.E. in IT."
UI/UX Designer,"UI/UX Designer with 8 years of experience. Skilled in Excel, TensorFlow, Pandas, MongoDB, AWS. Experience with Git, Microservices. Education: B.Des."
Frontend Developer,"Frontend Developer with 8 years of experience. Skilled in Figma, Pandas, PostgreSQL, MongoDB, Elasticsearch, NumPy, Python. Experience with GitHub Actions, Jenkins, Linux, Git. Education: MBA."
Cybersecurity Analyst,"Cybersecurity Analyst with 1 years of experience. Skilled in C++, scikit-learn, GCP, Java, TensorFlow, Redis. Experience with Linux, Jira, Agile, Jenkins. Education: M.S. in Data Science."
Data Engineer,"Data Engineer with 7 years of experience. Skilled in Docker, React, Airflow, Flask, Kafka, Redis. Experience with Scrum, Jenkins, CI/CD, Microservices. Education: MBA."
Cybersecurity Analyst,"Cybersecurity Analyst with 4 years of experience. Skilled in Hadoop, Python, Kubernetes, SQL, FastAPI, Figma. Experience with Terraform, REST API. Education: MBA."
Frontend Developer,"Frontend Developer with 1 years of experience. Skilled in PyTorch, GraphQL, Redis, Hadoop, Java. Experience with Jenkins, Linux, CI/CD, Jira. Education: B.Tech in Computer Science."
Frontend Developer,"Frontend Developer with 9 years of experience. Skilled in Flask, PostgreSQL, Tableau, Elasticsearch, GraphQL, C++. Experience with Jenkins, REST API, Scrum, Ansible. Education: M.S. in Data Science."
Software Engineer,"Software Engineer with 2 years of experience. Skilled in Power BI, Pandas, React, MongoDB, Azure. Experience with Scrum, Terraform, Linux. Education: M.Tech in AI."
DevOps Engineer,"DevOps Engineer with 5 years of experience. Skilled in Azure, scikit-learn, Flask, FastAPI, Power BI, AWS, Excel. Experience with Ansible, Git, Terraform, Scrum. Education: B.Tech in Computer Science."
UI/UX Designer,"UI/UX Designer with 7 years of experience. Skilled in Airflow, C++, MongoDB, Elasticsearch, PostgreSQL, GCP, scikit-learn. Experience with CI/CD, Agile. Education: B.Tech in Computer Science."
Data Scientist,"Data Scientist with 2 years of experience. Skilled in Redis, NumPy, FastAPI, Figma, Azure, Flask. Experience with Git, Linux. Education: M.Tech in AI."
Cloud Engineer,"Cloud Engineer with 8 years of experience. Skilled in Kubernetes, Azure, Excel, Tableau, Redis, React, SQL. Experience with GitHub Actions, Scrum. Education: MBA."
Data Scientist,"Data Scientist with 7 years of experience. Skilled in Power BI, Flask, Python, C++, TensorFlow, Pandas, SQL. Experience with Terraform, Agile. Education: M.S. in Data Science."
AI Engineer,"AI Engineer with 1 years of experience. Skilled in AWS, Solidity, Flask, React, Spark, SQL. Experience with GitHub Actions, Scrum, Ansible. Education: B.E. in IT."
UI/UX Designer,"UI/UX Designer with 3 years of experience. Skilled in Python, GCP, Hadoop, Excel, Node.js, Azure. Experience with Git, GitHub Actions, Agile. Education: B.Des."
Cloud Engineer,"Cloud Engineer with 1 years of experience. Skilled in Elasticsearch, Spark, AWS, Excel. Experience with Terraform, Microservices. Education: B.Des."
UI/UX Designer,"UI/UX Designer with 1 years of experience. Skilled in C++, Azure, GraphQL, TensorFlow, Kubernetes, Solidity. Experience with Jenkins, REST API, Git, Scrum. Education: B.E. in IT."
Machine Learning Engineer,"Machine Learning Engineer with 8 years of experience. Skilled in AWS, TensorFlow, GraphQL, Figma, Flask, Node.js, FastAPI. Experience with Jenkins, GitHub Actions. Education: B.Des."
Mobile Developer,"Mobile Developer with 5 years of experience. Skilled in Pandas, Redis, C++, Elasticsearch, Node.js, Kafka, Docker. Experience with Terraform, Ansible. Education: M.Tech in AI."
